Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,1.623966,211,211,1559594735.214384,1559594736.838350
2,1,0.746024,310,310,1559594736.913800,1559594737.659824
3,1,0.697532,221,221,1559594737.718244,1559594738.415776
4,1,0.682209,320,320,1559594738.471889,1559594739.154098
5,1,0.885970,231,231,1559594739.217242,1559594740.103212
6,1,0.960065,330,330,1559594740.181277,1559594741.141342
7,1,0.666182,241,241,1559594741.212964,1559594741.879146
8,1,0.779732,340,340,1559594741.953956,1559594742.733688
9,1,0.583701,251,251,1559594742.789465,1559594743.373166
10,1,0.563261,350,350,1559594743.447928,1559594744.011189
11,1,0.509646,261,261,1559594744.090442,1559594744.600088
12,1,0.794575,360,360,1559594744.674564,1559594745.469139
13,1,0.420789,271,271,1559594745.550837,1559594745.971626
14,1,1.094146,370,370,1559594746.032901,1559594747.127047
15,1,0.556721,281,281,1559594747.201363,1559594747.758084
16,1,0.966297,380,380,1559594747.837703,1559594748.804000
17,1,0.306439,291,291,1559594748.887088,1559594749.193527
18,1,0.790339,390,390,1559594749.251647,1559594750.041986
