Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime,RuleNumber
1,0,7.731512,111,211,1559603680.761708,1559603688.493220,1
2,1,7.360332,310,310,1559603688.493220,1559603695.853552,1
3,0,6.597385,211,111,1559603696.416027,1559603703.013412,1
4,1,4.529743,320,320,1559603703.013412,1559603707.543155,1
5,1,1.586536,221,221,1559603708.111793,1559603709.698329,1
6,1,4.085901,330,330,1559603709.698329,1559603713.784230,1
7,0,5.652145,231,121,1559603714.359020,1559603720.011165,2
8,1,3.375652,340,340,1559603720.011165,1559603723.386817,2
9,1,3.923936,241,231,1559603723.954518,1559603727.878454,2
10,1,1.086480,350,350,1559603727.878454,1559603728.964934,2
11,1,1.148269,251,241,1559603729.529625,1559603730.677894,2
12,1,1.114996,360,360,1559603730.677894,1559603731.792890,2
13,1,1.463783,121,131,1559603732.370060,1559603733.833843,2
14,1,1.174061,370,370,1559603733.833843,1559603735.007904,2
15,0,2.153385,131,251,1559603735.572399,1559603737.725784,3
16,1,3.357003,380,380,1559603737.725784,1559603741.082787,3
17,1,3.338497,141,141,1559603741.657262,1559603744.995759,3
18,1,1.873862,390,390,1559603744.995759,1559603746.869621,3
