Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime,Rule,RuleNumber
1,1,3.211627,111,111,1559604294.333049,1559604297.544676,2,1
2,1,1.272981,310,310,1559604297.544676,1559604298.817657,2,1
3,0,2.063219,121,211,1559604299.392418,1559604301.455637,2,1
4,1,1.842947,320,320,1559604301.455637,1559604303.298584,2,1
5,1,1.454255,131,121,1559604303.878257,1559604305.332512,2,1
6,1,1.394977,330,330,1559604305.332512,1559604306.727489,2,1
7,1,3.276407,211,221,1559604307.308030,1559604310.584437,2,1
8,1,1.787006,340,340,1559604310.584437,1559604312.371443,2,1
9,1,3.327657,221,231,1559604312.946263,1559604316.273920,0,2
10,1,1.277403,350,350,1559604316.273920,1559604317.551323,0,2
11,1,1.624908,141,131,1559604318.133223,1559604319.758131,0,2
12,1,1.726954,360,360,1559604319.758131,1559604321.485085,0,2
13,1,1.471928,151,161,1559604322.042831,1559604323.514759,0,2
14,1,1.390438,370,370,1559604323.514759,1559604324.905197,0,2
15,1,2.822236,161,151,1559604325.480349,1559604328.302585,2,3
16,1,1.896526,380,380,1559604328.302585,1559604330.199111,2,3
17,1,3.929486,171,191,1559604330.771534,1559604334.701020,2,3
18,1,1.298667,390,390,1559604334.701020,1559604335.999687,2,3
