Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,0,9.855333,211,371,1559594361.815616,1559594371.670949
2,0,0.436059,310,381,1559594371.879355,1559594372.315414
3,0,0.824679,221,391,1559594372.499806,1559594373.324485
4,0,0.496186,320,361,1559594373.508990,1559594374.005176
5,0,1.377055,111,230,1559594374.209451,1559594375.586506
6,0,1.295969,330,220,1559594375.771394,1559594377.067363
7,0,1.508631,231,210,1559594377.253280,1559594378.761911
8,0,1.039573,340,250,1559594378.968235,1559594380.007808
9,0,0.467282,121,311,1559594380.215977,1559594380.683259
10,0,0.612401,350,240,1559594380.892404,1559594381.504805
11,0,0.406096,131,321,1559594381.712750,1559594382.118846
12,0,0.728272,360,130,1559594382.324519,1559594383.052791
13,0,0.720925,241,331,1559594383.247824,1559594383.968749
14,0,0.786185,370,160,1559594384.176612,1559594384.962797
15,0,0.498945,141,351,1559594385.171847,1559594385.670792
16,0,0.710618,380,120,1559594385.873646,1559594386.584264
17,0,0.425859,151,341,1559594386.771892,1559594387.197751
18,0,0.898158,390,110,1559594387.405507,1559594388.303665
